"","X","cod","Escola","Turma","Serie","Nivel","Sexo","Idade","Cor.Raca","Zona","Necessidade.Deficiencia","id","Stari.Grupo","WG.Grupo","vocab.pre","vocab.pos","score.tde.pre","score.tde.pos","TFL.lidas.per.min.pre","TFL.erradas.per.min.pre","TFL.omitidas.per.min.pre","TFL.corretas.per.min.pre","TFL.lidas.pre","TFL.erradas.pre","TFL.omitidas.pre","TFL.corretas.pre","leitura.compreensao.pre","TFL.lidas.per.min.pos","TFL.erradas.per.min.pos","TFL.omitidas.per.min.pos","TFL.corretas.per.min.pos","TFL.lidas.pos","TFL.erradas.pos","TFL.omitidas.pos","TFL.corretas.pos","leitura.compreensao.pos","dfs.media.read","fss.media.read","dfs.media.math","fss.media.math","dfs.media.text","fss.media.text","dfs.media.debat","fss.media.debat","gain.vocab","gain.score.tde","gain.TFL.lidas.per.min","gain.TFL.corretas.per.min","gain.TFL.lidas","gain.TFL.corretas","gain.leitura.compreensao","gain.flow.read","gain.flow.math","gain.flow.text","gain.flow.debat","vocab.quintile","score.tde.quintile","TFL.lidas.per.min.quintile","TFL.erradas.per.min.quintile","TFL.omitidas.per.min.quintile","TFL.corretas.per.min.quintile","TFL.lidas.quintile","TFL.erradas.quintile","TFL.omitidas.quintile","TFL.corretas.quintile","leitura.compreensao.quintile"
"b2481f02d43b965c55a7fce1682caa62",102,"b2481f02d43b965c55a7fce1682caa62","EMEB PROFESSORA MARIA QUEIROZ FERRO","8 ANO B","8 ano","anos finais","F",13,NA,"Urbana",NA,"P3153","Controle",NA,14,20,31,32,113,3,NA,110,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,3.44444444444445,3,3.22222222222222,3,3.44444444444445,3,NA,2.66666666666667,6,1,NA,NA,NA,NA,-3,-0.444444444444445,-0.222222222222222,-0.444444444444445,NA,"1st quintile","2nd quintile","5th quintile","4th quintile",NA,"4th quintile",NA,NA,NA,NA,"2nd quintile"
"b34e060e2960ea4219d2ce61666d3ff3",103,"b34e060e2960ea4219d2ce61666d3ff3","EMEB PROFESSORA MARIA QUEIROZ FERRO","9 ANO A","9 ano","anos finais","F",14,"Parda","Urbana",NA,"P3239","Experimental",NA,26,18,30,25,91,3,NA,88,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,3.55555555555555,3.77777777777778,3,2.77777777777778,3.33333333333333,2.88888888888889,3,NA,-8,-5,NA,NA,NA,NA,-4,0.222222222222222,-0.222222222222222,-0.444444444444445,NA,"3rd quintile","2nd quintile","3rd quintile","4th quintile",NA,"3rd quintile",NA,NA,NA,NA,"3rd quintile"
"b9a308a98651feac231d4e6e93856a56",104,"b9a308a98651feac231d4e6e93856a56","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","6 ANO E","6 ano","anos finais","M",11,NA,"Rural",NA,"P1768","Experimental",NA,30,25,38,NA,114,2,NA,112,NA,NA,NA,NA,3,184,NA,NA,184,452,NA,NA,452,4,4.22222222222222,3.11111111111111,3.77777777777778,2.55555555555555,4.33333333333333,3.33333333333333,4.33333333333333,2.88888888888889,-5,NA,70,72,NA,NA,1,-1.11111111111111,-1.22222222222222,-1,-1.44444444444444,"4th quintile","3rd quintile","5th quintile","3rd quintile",NA,"5th quintile",NA,NA,NA,NA,"2nd quintile"
"ba500822479ac0d3093ece4f68a11e58",105,"ba500822479ac0d3093ece4f68a11e58","EMEB PADRE ANCHIETA","7 ANO B","7 ano","anos finais","M",13,NA,"Rural",NA,"P950","Experimental",NA,26,32,26,NA,90,0,0,90,452,2,0,450,4,93,0,0,93,452,0,0,452,7,2.77777777777778,3.55555555555555,3.22222222222222,3.33333333333333,2.88888888888889,3.88888888888889,2.77777777777778,4,6,NA,3,3,0,2,3,0.777777777777778,0.111111111111111,1,1.22222222222222,"3rd quintile","2nd quintile","3rd quintile","2nd quintile","3rd quintile","3rd quintile","3rd quintile","2nd quintile","3rd quintile","4th quintile","3rd quintile"
"bcc8e89ae297dae2db00dc3ed755c77e",106,"bcc8e89ae297dae2db00dc3ed755c77e","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","6 ANO D","6 ano","anos finais","F",11,NA,"Urbana",NA,"P1729","Controle",NA,19,16,28,24,48,1,NA,47,NA,NA,NA,NA,3,88,1,NA,87,NA,NA,NA,NA,1,3.22222222222222,4.33333333333333,3.22222222222222,4.33333333333333,3.22222222222222,4.33333333333333,3.22222222222222,4.33333333333333,-3,-4,40,40,NA,NA,-2,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111,"2nd quintile","2nd quintile","1st quintile","3rd quintile",NA,"1st quintile",NA,NA,NA,NA,"2nd quintile"
"c42df687f2141ad981c122750cabe5fb",108,"c42df687f2141ad981c122750cabe5fb","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","6 ANO D","6 ano","anos finais","F",11,NA,"Rural",NA,"P1698","Experimental",NA,20,23,32,27,68,NA,NA,68,NA,NA,NA,NA,5,145,1,NA,144,451,1,NA,450,5,3.11111111111111,4,3.11111111111111,2.88888888888889,1.88888888888889,3.33333333333333,3.22222222222222,3.25,3,-5,77,76,NA,NA,0,0.888888888888889,-0.222222222222222,1.44444444444445,0.0277777777777777,"2nd quintile","3rd quintile","2nd quintile",NA,NA,"2nd quintile",NA,NA,NA,NA,"3rd quintile"
"c56bcfc3b986fa25b7aba25e1c811a11",109,"c56bcfc3b986fa25b7aba25e1c811a11","EMEB NATANAEL DA SILVA","7 ANO A","7 ano","anos finais","F",12,"Parda","Rural",NA,"P522","Controle",NA,20,22,36,17,54,0,2,52,NA,NA,NA,NA,0,99,5,3,91,452,12,6,436,4,2.75,3.33333333333333,2.77777777777778,3.77777777777778,2.55555555555555,3.88888888888889,3,3.55555555555555,2,-19,45,39,NA,NA,4,0.583333333333333,1,1.33333333333333,0.555555555555555,"2nd quintile","3rd quintile","1st quintile","2nd quintile","5th quintile","1st quintile",NA,NA,NA,NA,"1st quintile"
"c6047e849fb9cae186280873ae8c427e",110,"c6047e849fb9cae186280873ae8c427e","EMEB PADRE ANCHIETA","7 ANO B","7 ano","anos finais","M",14,"Parda","Rural",NA,"P947","Controle",NA,23,26,26,NA,82,1,0,81,446,3,6,443,7,88,1,1,86,451,1,1,450,6,3.77777777777778,3.33333333333333,3.55555555555555,3.66666666666667,3.66666666666667,3.33333333333333,3.22222222222222,3.55555555555555,3,NA,6,5,5,7,-1,-0.444444444444444,0.111111111111111,-0.333333333333333,0.333333333333333,"3rd quintile","2nd quintile","2nd quintile","3rd quintile","3rd quintile","2nd quintile","1st quintile","3rd quintile","5th quintile","2nd quintile","5th quintile"
"c638953785a5b3504e5fc74403d1de1c",111,"c638953785a5b3504e5fc74403d1de1c","EMEB PADRE ANCHIETA","7 ANO B","7 ano","anos finais","M",12,"Parda","Rural",NA,"P958","Experimental",NA,39,39,33,NA,80,1,0,79,452,2,0,450,7,99,0,0,99,452,0,0,452,9,4.33333333333333,4.44444444444444,4.22222222222222,4.33333333333333,4.11111111111111,4.11111111111111,4.55555555555556,3.66666666666667,0,NA,19,20,0,2,2,0.111111111111112,0.111111111111111,0,-0.888888888888889,"5th quintile","3rd quintile","2nd quintile","3rd quintile","3rd quintile","2nd quintile","3rd quintile","2nd quintile","3rd quintile","4th quintile","5th quintile"
"c8476e60479d68632b79943e86eb6062",112,"c8476e60479d68632b79943e86eb6062","EMEB PADRE ANCHIETA","8 ANO A","8 ano","anos finais","F",13,"Parda",NA,NA,"P1016","Controle",NA,35,23,39,29,NA,NA,NA,NA,NA,NA,NA,NA,0,91,0,0,91,452,2,0,450,5,3.22222222222222,3.44444444444445,3.33333333333333,2.88888888888889,3.11111111111111,3.66666666666667,3,3.55555555555555,-12,-10,NA,NA,NA,NA,5,0.222222222222222,-0.444444444444445,0.555555555555555,0.555555555555555,"5th quintile","3rd quintile",NA,NA,NA,NA,NA,NA,NA,NA,"1st quintile"
